Date,Open,High,Low,Close,Volume,Adj.Close
03-02-2014,91.92,95.77,89.25,95.03,14789300,95.03
02-01-2014,100.6,101.22,91.7,92.16,13058500,91.51
02-12-2013,93.27,101.74,92.92,101.2,13228500,100.49
01-11-2013,89.74,96,88.27,93.48,12856000,92.82
01-10-2013,85.99,90.96,84.79,89.62,13341600,88.39
03-09-2013,87.7,89.87,85.61,86.04,12800900,84.86
01-08-2013,92.69,93.1,86.39,87.16,12914100,85.96
01-07-2013,90.39,95.49,89.96,93.75,11462900,91.83
03-06-2013,90.53,92.27,88.02,90.35,15737500,88.5
01-05-2013,88.52,93.5,87.48,90.47,13364200,88.61
01-04-2013,90.13,90.99,85.02,88.99,14132700,86.57
01-03-2013,89.07,90.98,87.9,90.11,14126500,87.66
01-02-2013,90.44,90.5,87.61,89.55,13249100,87.11
02-01-2013,87.79,91.93,87.24,89.97,13213700,86.96
03-12-2012,88.55,90.37,84.7,86.55,15112600,83.66
01-11-2012,90.25,92.05,85.06,88.14,14342700,85.19
01-10-2012,91.79,93.67,89.68,91.17,12188600,87.57
04-09-2012,87.33,92.57,86.52,91.45,14037000,87.84
01-08-2012,87.02,88.91,85.5,87.3,11399500,83.86
02-07-2012,85.44,87.85,82.83,86.85,15548900,82.89
01-06-2012,77.87,85.7,77.13,85.57,25082200,81.67
01-05-2012,86.46,87.52,78.41,78.63,17847200,75.04
02-04-2012,86.6,87.67,81.88,86.34,15598400,81.84
01-03-2012,86.47,87.25,84.05,86.73,15994500,82.21
01-02-2012,84.23,87.83,83.19,86.5,15949600,81.99
03-01-2012,85.97,87.94,83.46,83.74,18038500,78.94
01-12-2011,80.2,85.63,78.66,84.76,18567500,79.9
01-11-2011,75.82,80.53,73.9,80.44,22775500,75.83
03-10-2011,72.05,82.2,69.21,78.09,25943600,73.18
01-09-2011,74.15,74.98,67.93,72.63,27687600,68.06
01-08-2011,80.82,81.18,67.03,74.02,34928400,69.36
01-07-2011,81.19,85.41,79.76,79.79,20103800,74.28
01-06-2011,83.55,83.65,76.72,81.38,21103900,75.76
02-05-2011,88.1,88.13,79.42,83.47,20355400,77.71
01-04-2011,84.72,88,82.38,87.98,16353700,81.44
01-03-2011,86.41,86.5,78.8,84.13,19767400,77.88
01-02-2011,81.14,88.23,81.04,85.53,24636800,79.17
03-01-2011,73.72,80.82,73.64,80.68,24194700,74.29
01-12-2010,70.38,73.69,70.38,73.12,19295900,67.33
01-11-2010,66.72,71.9,66.63,69.56,24468700,64.05
01-10-2010,62.32,66.81,61.8,66.49,21413900,60.84
01-09-2010,60.04,62.44,59.72,61.79,21372500,56.54
